TP53,tumor protein p53,360 / 986 (36.51%),"4,008 / 10,202","16 / 1,072 (1.49%)","47 / 1,072 (4.38%)",240,Cancer Gene Census,add to survival plot
PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha",339 / 986 (34.38%),"1,403 / 10,202","151 / 1,072 (14.09%)","15 / 1,072 (1.40%)",82,Cancer Gene Census,add to survival plot
TTN,titin,243 / 986 (24.65%),"3,858 / 10,202","45 / 1,072 (4.20%)","22 / 1,072 (2.05%)",472,,add to survival plot
MUC4,"mucin 4, cell surface associated",197 / 986 (19.98%),"1,304 / 10,202","135 / 1,072 (12.59%)","27 / 1,072 (2.52%)",141,,add to survival plot
MUC16,"mucin 16, cell surface associated",149 / 986 (15.11%),"2,466 / 10,202","54 / 1,072 (5.04%)","51 / 1,072 (4.76%)",204,,add to survival plot
CDH1,"cadherin 1, type 1, E-cadherin (epithelial)",149 / 986 (15.11%),"385 / 10,202","36 / 1,072 (3.36%)","46 / 1,072 (4.29%)",133,Cancer Gene Census,add to survival plot
GATA3,GATA binding protein 3,141 / 986 (14.30%),"362 / 10,202","113 / 1,072 (10.54%)","10 / 1,072 (0.93%)",107,Cancer Gene Census,add to survival plot
MUC2,"mucin 2, oligomeric mucus/gel-forming",114 / 986 (11.56%),"699 / 10,202","0 / 1,072 (0.00%)","0 / 1,072 (0.00%)",58,,add to survival plot
KMT2C,lysine (K)-specific methyltransferase 2C,101 / 986 (10.24%),"1,003 / 10,202","51 / 1,072 (4.76%)","97 / 1,072 (9.05%)",128,Cancer Gene Census,add to survival plot
MAP3K1,"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase",91 / 986 (9.23%),"328 / 10,202","22 / 1,072 (2.05%)","79 / 1,072 (7.37%)",134,Cancer Gene Census,add to survival plot
RYR2,ryanodine receptor 2 (cardiac),89 / 986 (9.03%),"1,575 / 10,202","166 / 1,072 (15.49%)","34 / 1,072 (3.17%)",0,,add to survival plot
SYNE1,"spectrin repeat containing, nuclear envelope 1",81 / 986 (8.22%),"1,593 / 10,202","73 / 1,072 (6.81%)","78 / 1,072 (7.28%)",0,,add to survival plot
HMCN1,hemicentin 1,79 / 986 (8.01%),"1,148 / 10,202","125 / 1,072 (11.66%)","23 / 1,072 (2.15%)",0,,add to survival plot
